Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
4735,3 BHK Flat for Sale in Sector 150,"Spacious 3 BHK apartment located in Sector 150, Noida. Semi-Furnished with modern amenities.",92.58 Lac,,"Sector 150, Noida",959 sqft,Ready to Move,4 out of 4,New Property,Semi-Furnished,North-East,Pool,Sunrise Residency,3.0,1.0,2.0,Leasehold,1234 sqft,,
4736,4 BHK Flat for Sale in New Town,"Spacious 4 BHK apartment located in New Town, Kolkata. Unfurnished with modern amenities.",1.4 Cr,13961253.0,"New Town, Kolkata",1505 sqft,Under Construction,11 out of 25,Resale,Unfurnished,North,Garden/Park,Lake Heights,5.0,,2.0,Co-operative Society,,,2139 sqft
4737,5 BHK Flat for Sale in Yelahanka,"Spacious 5 BHK apartment located in Yelahanka, Bangalore. Furnished with modern amenities.",1.93 Cr,19284542.0,"Yelahanka, Bangalore",1940 sqft,Under Construction,4 out of 5,Resale,Furnished,,Not Available,Emerald Enclave,5.0,,,Leasehold,237 sqm,60x34,
4738,3 BHK Flat for Sale in Bopal,"Spacious 3 BHK apartment located in Bopal, Ahmedabad. Semi-Furnished with modern amenities.",70.82 Lac,,"Bopal, Ahmedabad",,Under Construction,Basement out of 6,Resale,Semi-Furnished,East,Pool,Orchid Woods,2.0,1.0,,Co-operative Society,1282 sqft,,
4739,3 BHK Flat for Sale in Whitefield,"Spacious 3 BHK apartment located in Whitefield, Bangalore. Furnished with modern amenities.",1.04 Cr,10360549.0,"Whitefield, Bangalore",94 sqm,Ready to Move,6 out of 15,Resale,Furnished,South,Club,Silver Gardens,4.0,,1.0,Power Of Attorney,1237 sqft,,
4740,3 BHK Flat for Sale in Velachery,"Spacious 3 BHK apartment located in Velachery, Chennai. Furnished with modern amenities.",1.13 Cr,,"Velachery, Chennai",,Under Construction,2 out of 10,Resale,Furnished,South,,Green Towers,2.0,0.0,,Freehold,1409 sqft,45x38,
4741,2 BHK Flat for Sale in Sector 78,"Spacious 2 BHK apartment located in Sector 78, Noida. Semi-Furnished with modern amenities.",57.95 Lac,,"Sector 78, Noida",,Under Construction,13 out of 25,New Property,Semi-Furnished,North,Not Available,,2.0,3.0,,Freehold,810 sqft,,
4742,4 BHK Flat for Sale in Porur,"Spacious 4 BHK apartment located in Porur, Chennai. Unfurnished with modern amenities.",84.09 Lac,8409105.0,"Porur, Chennai",1353 sqft,Ready to Move,18 out of 20,Resale,Unfurnished,South-West,Pool,Green Enclave,5.0,1.0,0.0,Power Of Attorney,1557 sqft,24x27,
4743,2 BHK Flat for Sale in Kukatpally,"Spacious 2 BHK apartment located in Kukatpally, Hyderabad. Unfurnished with modern amenities.",48.88 Lac,4887591.0,"Kukatpally, Hyderabad",841 sqft,Ready to Move,6 out of 12,New Property,Unfurnished,,Pool,,2.0,2.0,2.0,,1094 sqft,35x39,
4744,2 BHK Flat for Sale in Karol Bagh,"Spacious 2 BHK apartment located in Karol Bagh, Delhi. Furnished with modern amenities.",95.27 Lac,9526925.0,"Karol Bagh, Delhi",,Under Construction,3 out of 25,New Property,Furnished,South-East,,,3.0,0.0,1.0,Freehold,854 sqft,,
4745,2 BHK Flat for Sale in Kandivali West,"Spacious 2 BHK apartment located in Kandivali West, Mumbai. Unfurnished with modern amenities.",2.1 Cr,20954901.0,"Kandivali West, Mumbai",,Ready to Move,1 out of 5,New Property,Unfurnished,South,Garden/Park,Emerald Enclave,3.0,2.0,,,829 sqft,59x37,1006 sqft
4746,2 BHK Flat for Sale in Maninagar,"Spacious 2 BHK apartment located in Maninagar, Ahmedabad. Semi-Furnished with modern amenities.",44.76 Lac,,"Maninagar, Ahmedabad",743 sqft,Under Construction,18 out of 25,Resale,Semi-Furnished,,Pool,Royal Woods,2.0,,,Freehold,870 sqft,42x50,
4747,4 BHK Flat for Sale in Behala,"Spacious 4 BHK apartment located in Behala, Kolkata. Unfurnished with modern amenities.",84.21 Lac,,"Behala, Kolkata",1245 sqft,Ready to Move,1 out of 4,New Property,Unfurnished,South-West,Club,Orchid Enclave,5.0,,0.0,Leasehold,149 sqm,,
4748,2 BHK Flat for Sale in Kondapur,"Spacious 2 BHK apartment located in Kondapur, Hyderabad. Furnished with modern amenities.",80.22 Lac,,"Kondapur, Hyderabad",,Ready to Move,Ground out of 8,New Property,Furnished,,,Royal Gardens,2.0,0.0,0.0,Co-operative Society,,,
4749,2 BHK Flat for Sale in Salt Lake,"Spacious 2 BHK apartment located in Salt Lake, Kolkata. Semi-Furnished with modern amenities.",Call for Price,,"Salt Lake, Kolkata",644 sqft,Under Construction,5 out of 8,New Property,Semi-Furnished,North-East,Main Road,Golden Gardens,2.0,1.0,1.0,,758 sqft,,
4750,3 BHK Flat for Sale in Velachery,"Spacious 3 BHK apartment located in Velachery, Chennai. Semi-Furnished with modern amenities.",62.88 Lac,6288261.0,"Velachery, Chennai",1064 sqft,Under Construction,5 out of 8,New Property,Semi-Furnished,East,Main Road,Silver Towers,2.0,2.0,0.0,Co-operative Society,1239 sqft,,
4751,2 BHK Flat for Sale in Bopal,"Spacious 2 BHK apartment located in Bopal, Ahmedabad. Furnished with modern amenities.",75.56 Lac,7556498.0,"Bopal, Ahmedabad",,Under Construction,9 out of 10,Resale,Furnished,,Garden/Park,Green Park,2.0,2.0,2.0,Leasehold,1191 sqft,52x26,
4752,3 BHK Flat for Sale in Sector 78,"Spacious 3 BHK apartment located in Sector 78, Noida. Semi-Furnished with modern amenities.",56.78 Lac,,"Sector 78, Noida",901 sqft,Under Construction,2 out of 20,Resale,Semi-Furnished,North-West,,Palm Heights,3.0,2.0,1.0,Power Of Attorney,1143 sqft,37x51,
4753,2 BHK Flat for Sale in Velachery,"Spacious 2 BHK apartment located in Velachery, Chennai. Furnished with modern amenities.",60.99 Lac,,"Velachery, Chennai",710 sqft,Ready to Move,12 out of 25,New Property,Furnished,South,Garden/Park,Lake Woods,1.0,1.0,0.0,Co-operative Society,836 sqft,42x36,
4754,1 BHK Flat for Sale in Baner,"Spacious 1 BHK apartment located in Baner, Pune. Unfurnished with modern amenities.",30.6 Lac,,"Baner, Pune",419 sqft,Ready to Move,1 out of 4,New Property,Unfurnished,East,Not Available,Royal Heights,1.0,0.0,0.0,,,,
4755,5 BHK Flat for Sale in Bopal,"Spacious 5 BHK apartment located in Bopal, Ahmedabad. Unfurnished with modern amenities.",1.12 Cr,,"Bopal, Ahmedabad",1534 sqft,Ready to Move,4 out of 8,New Property,Unfurnished,,Garden/Park,Palm Park,5.0,1.0,,Freehold,,,1950 sqft
4756,4 BHK Flat for Sale in Sector 82,"Spacious 4 BHK apartment located in Sector 82, Gurgaon. Semi-Furnished with modern amenities.",2.18 Cr,,"Sector 82, Gurgaon",,Ready to Move,1 out of 10,New Property,Semi-Furnished,North-West,Garden/Park,,3.0,1.0,,Leasehold,1807 sqft,,
4757,4 BHK Flat for Sale in HSR Layout,"Spacious 4 BHK apartment located in HSR Layout, Bangalore. Furnished with modern amenities.",1.49 Cr,,"HSR Layout, Bangalore",1139 sqft,Under Construction,8 out of 20,Resale,Furnished,North-West,Main Road,Orchid Residency,,2.0,1.0,Power Of Attorney,1362 sqft,,
4758,3 BHK Flat for Sale in Sector 150,"Spacious 3 BHK apartment located in Sector 150, Noida. Unfurnished with modern amenities.",69.16 Lac,,"Sector 150, Noida",,Ready to Move,9 out of 25,New Property,Unfurnished,North-East,Garden/Park,Golden Residency,4.0,0.0,,Co-operative Society,114 sqm,,
4759,4 BHK Flat for Sale in Yelahanka,"Spacious 4 BHK apartment located in Yelahanka, Bangalore. Furnished with modern amenities.",1.61 Cr,,"Yelahanka, Bangalore",1531 sqft,Under Construction,Ground out of 4,New Property,Furnished,,Main Road,Royal Park,,1.0,0.0,Power Of Attorney,1727 sqft,,
4760,3 BHK Flat for Sale in Sector 78,"Spacious 3 BHK apartment located in Sector 78, Noida. Semi-Furnished with modern amenities.",1.05 Cr,10526869.0,"Sector 78, Noida",,Ready to Move,8 out of 8,New Property,Semi-Furnished,North-East,Club,Lake Heights,4.0,3.0,1.0,,,,
4761,3 BHK Flat for Sale in Sector 78,"Spacious 3 BHK apartment located in Sector 78, Noida. Unfurnished with modern amenities.",1.2 Cr,,"Sector 78, Noida",1267 sqft,Under Construction,Ground out of 8,New Property,Unfurnished,East,Club,Maple Residency,3.0,0.0,1.0,,1698 sqft,32x55,
4762,4 BHK Flat for Sale in Sector 82,"Spacious 4 BHK apartment located in Sector 82, Gurgaon. Semi-Furnished with modern amenities.",1.06 Cr,10627671.0,"Sector 82, Gurgaon",1225 sqft,Ready to Move,9 out of 25,New Property,Semi-Furnished,,,Palm Park,5.0,,1.0,Leasehold,141 sqm,,
4763,5 BHK Flat for Sale in Velachery,"Spacious 5 BHK apartment located in Velachery, Chennai. Furnished with modern amenities.",1.29 Cr,12922671.0,"Velachery, Chennai",121 sqm,Under Construction,3 out of 6,New Property,Furnished,North-East,,Royal Enclave,5.0,0.0,0.0,Freehold,,24x33,
4764,1 BHK Flat for Sale in Andheri West,"Spacious 1 BHK apartment located in Andheri West, Mumbai. Unfurnished with modern amenities.",1.01 Cr,10075074.0,"Andheri West, Mumbai",409 sqft,Under Construction,1 out of 6,Resale,Unfurnished,South,,Lake Gardens,,,,Co-operative Society,,,
4765,4 BHK Flat for Sale in Karol Bagh,"Spacious 4 BHK apartment located in Karol Bagh, Delhi. Furnished with modern amenities.",3.06 Cr,,"Karol Bagh, Delhi",1367 sqft,Under Construction,8 out of 10,New Property,Furnished,,Main Road,Royal County,5.0,,1.0,,,,
4766,2 BHK Flat for Sale in Sohna Road,"Spacious 2 BHK apartment located in Sohna Road, Gurgaon. Unfurnished with modern amenities.",84.91 Lac,8491344.0,"Sohna Road, Gurgaon",937 sqft,Under Construction,24 out of 25,Resale,Unfurnished,,,,3.0,2.0,1.0,,1221 sqft,,
4767,1 BHK Flat for Sale in Rajarhat,"Spacious 1 BHK apartment located in Rajarhat, Kolkata. Furnished with modern amenities.",26.86 Lac,,"Rajarhat, Kolkata",361 sqft,Under Construction,5 out of 5,New Property,Furnished,South-West,,Sunrise Park,1.0,3.0,,Freehold,,44x24,
4768,2 BHK Flat for Sale in New Town,"Spacious 2 BHK apartment located in New Town, Kolkata. Unfurnished with modern amenities.",53.9 Lac,,"New Town, Kolkata",639 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,North-East,Pool,Green Residency,2.0,3.0,2.0,Freehold,,29x41,
4769,2 BHK Flat for Sale in Karol Bagh,"Spacious 2 BHK apartment located in Karol Bagh, Delhi. Furnished with modern amenities.",1.48 Cr,14788449.0,"Karol Bagh, Delhi",675 sqft,Under Construction,Basement out of 20,New Property,Furnished,North-East,,Lake County,3.0,3.0,,,779 sqft,44x21,
4770,3 BHK Flat for Sale in Dwarka,"Spacious 3 BHK apartment located in Dwarka, Delhi. Semi-Furnished with modern amenities.",3.02 Cr,,"Dwarka, Delhi",1311 sqft,Under Construction,Ground out of 4,Resale,Semi-Furnished,East,Main Road,,3.0,0.0,,,1716 sqft,,2102 sqft
4771,5 BHK Flat for Sale in Whitefield,"Spacious 5 BHK apartment located in Whitefield, Bangalore. Semi-Furnished with modern amenities.",2.71 Cr,,"Whitefield, Bangalore",1901 sqft,Under Construction,1 out of 6,New Property,Semi-Furnished,West,Club,Golden Towers,5.0,2.0,,,2172 sqft,,
4772,5 BHK Flat for Sale in Janakpuri,"Spacious 5 BHK apartment located in Janakpuri, Delhi. Semi-Furnished with modern amenities.",3.17 Cr,31718833.0,"Janakpuri, Delhi",2224 sqft,Under Construction,16 out of 25,Resale,Semi-Furnished,South-West,,Golden Gardens,5.0,1.0,2.0,,2573 sqft,,
4773,3 BHK Flat for Sale in Karol Bagh,"Spacious 3 BHK apartment located in Karol Bagh, Delhi. Unfurnished with modern amenities.",1.9 Cr,18998619.0,"Karol Bagh, Delhi",123 sqm,Ready to Move,Ground out of 15,New Property,Unfurnished,South,Garden/Park,Emerald Enclave,4.0,0.0,,,,,
4774,5 BHK Flat for Sale in Sector 150,"Spacious 5 BHK apartment located in Sector 150, Noida. Semi-Furnished with modern amenities.",1.1 Cr,11002400.0,"Sector 150, Noida",1645 sqft,Ready to Move,5 out of 15,Resale,Semi-Furnished,South,Pool,Silver Towers,4.0,1.0,1.0,,,31x42,
4775,3 BHK Flat for Sale in Rohini,"Spacious 3 BHK apartment located in Rohini, Delhi. Furnished with modern amenities.",2.4 Cr,,"Rohini, Delhi",1172 sqft,Ready to Move,4 out of 12,New Property,Furnished,,,Green Park,3.0,2.0,,Power Of Attorney,,,
4776,3 BHK Flat for Sale in Anna Nagar,"Spacious 3 BHK apartment located in Anna Nagar, Chennai. Unfurnished with modern amenities.",71.13 Lac,,"Anna Nagar, Chennai",1019 sqft,Under Construction,4 out of 8,New Property,Unfurnished,East,Pool,Maple Residency,2.0,0.0,,Power Of Attorney,1233 sqft,,
4777,2 BHK Flat for Sale in Hadapsar,"Spacious 2 BHK apartment located in Hadapsar, Pune. Semi-Furnished with modern amenities.",91.07 Lac,,"Hadapsar, Pune",818 sqft,Under Construction,1 out of 15,New Property,Semi-Furnished,South-West,,Sunrise Heights,3.0,,2.0,,1027 sqft,,
4778,4 BHK Flat for Sale in Karol Bagh,"Spacious 4 BHK apartment located in Karol Bagh, Delhi. Semi-Furnished with modern amenities.",1.47 Cr,14650970.0,"Karol Bagh, Delhi",1302 sqft,Under Construction,7 out of 20,New Property,Semi-Furnished,North-East,,,3.0,2.0,,Co-operative Society,1600 sqft,,
4779,3 BHK Flat for Sale in Behala,"Spacious 3 BHK apartment located in Behala, Kolkata. Furnished with modern amenities.",85.08 Lac,,"Behala, Kolkata",1007 sqft,Ready to Move,3 out of 8,Resale,Furnished,West,Not Available,Royal Gardens,3.0,3.0,,Freehold,1147 sqft,,
4780,5 BHK Flat for Sale in OMR,"Spacious 5 BHK apartment located in OMR, Chennai. Furnished with modern amenities.",1.15 Cr,11511002.0,"OMR, Chennai",,Under Construction,1 out of 25,New Property,Furnished,West,Pool,Palm County,6.0,,,Leasehold,1757 sqft,,
4781,3 BHK Flat for Sale in Sector 150,"Spacious 3 BHK apartment located in Sector 150, Noida. Semi-Furnished with modern amenities.",65.65 Lac,6564693.0,"Sector 150, Noida",864 sqft,Under Construction,14 out of 25,Resale,Semi-Furnished,West,,,3.0,2.0,1.0,Leasehold,,,
4782,1 BHK Flat for Sale in Karol Bagh,"Spacious 1 BHK apartment located in Karol Bagh, Delhi. Furnished with modern amenities.",63.92 Lac,6392108.0,"Karol Bagh, Delhi",360 sqft,Ready to Move,12 out of 15,Resale,Furnished,South-East,Pool,,1.0,,1.0,,,43x60,
4783,5 BHK Flat for Sale in Janakpuri,"Spacious 5 BHK apartment located in Janakpuri, Delhi. Semi-Furnished with modern amenities.",2.7 Cr,,"Janakpuri, Delhi",,Under Construction,3 out of 4,New Property,Semi-Furnished,,Not Available,,5.0,2.0,,,1851 sqft,,
4784,3 BHK Flat for Sale in Madhapur,"Spacious 3 BHK apartment located in Madhapur, Hyderabad. Semi-Furnished with modern amenities.",1.2 Cr,12014123.0,"Madhapur, Hyderabad",1217 sqft,Ready to Move,2 out of 8,New Property,Semi-Furnished,North-West,Pool,Golden County,3.0,2.0,,Leasehold,1384 sqft,,
4785,2 BHK Flat for Sale in Salt Lake,"Spacious 2 BHK apartment located in Salt Lake, Kolkata. Semi-Furnished with modern amenities.",49.01 Lac,4900988.0,"Salt Lake, Kolkata",53 sqm,Under Construction,4 out of 4,New Property,Semi-Furnished,,Garden/Park,Silver Gardens,1.0,,,Co-operative Society,719 sqft,31x55,
4786,4 BHK Flat for Sale in Dwarka,"Spacious 4 BHK apartment located in Dwarka, Delhi. Furnished with modern amenities.",1.84 Cr,18378046.0,"Dwarka, Delhi",1462 sqft,Ready to Move,7 out of 8,Resale,Furnished,,,Sunrise Heights,4.0,1.0,0.0,Co-operative Society,,58x46,
4787,1 BHK Flat for Sale in Andheri West,"Spacious 1 BHK apartment located in Andheri West, Mumbai. Semi-Furnished with modern amenities.",77.07 Lac,7707357.0,"Andheri West, Mumbai",382 sqft,Ready to Move,10 out of 12,New Property,Semi-Furnished,South-West,Club,Royal Enclave,1.0,2.0,,Power Of Attorney,458 sqft,47x50,
4788,2 BHK Flat for Sale in Sector 150,"Spacious 2 BHK apartment located in Sector 150, Noida. Unfurnished with modern amenities.",48.6 Lac,4859531.0,"Sector 150, Noida",710 sqft,Ready to Move,1 out of 5,New Property,Unfurnished,South-East,Pool,Palm Gardens,2.0,2.0,0.0,Co-operative Society,949 sqft,,1285 sqft
4789,4 BHK Flat for Sale in Kukatpally,"Spacious 4 BHK apartment located in Kukatpally, Hyderabad. Furnished with modern amenities.",1.17 Cr,11717669.0,"Kukatpally, Hyderabad",1451 sqft,Ready to Move,10 out of 15,Resale,Furnished,East,Main Road,Palm Park,4.0,,2.0,Freehold,1744 sqft,,
4790,1 BHK Flat for Sale in Sector 137,"Spacious 1 BHK apartment located in Sector 137, Noida. Furnished with modern amenities.",46.16 Lac,4615555.0,"Sector 137, Noida",38 sqm,Ready to Move,Ground out of 4,Resale,Furnished,,Main Road,Emerald Heights,2.0,2.0,,Co-operative Society,,,
4791,2 BHK Flat for Sale in Sohna Road,"Spacious 2 BHK apartment located in Sohna Road, Gurgaon. Furnished with modern amenities.",95.35 Lac,9534803.0,"Sohna Road, Gurgaon",802 sqft,Ready to Move,3 out of 8,Resale,Furnished,South,Not Available,Emerald Woods,1.0,0.0,1.0,Leasehold,,52x58,
4792,4 BHK Flat for Sale in Sector 57,"Spacious 4 BHK apartment located in Sector 57, Gurgaon. Unfurnished with modern amenities.",1.53 Cr,,"Sector 57, Gurgaon",1205 sqft,Ready to Move,5 out of 10,Resale,Unfurnished,North-West,,,4.0,2.0,,Co-operative Society,,21x38,
4793,2 BHK Flat for Sale in New Town,"Spacious 2 BHK apartment located in New Town, Kolkata. Furnished with modern amenities.",58.5 Lac,5849704.0,"New Town, Kolkata",,Under Construction,10 out of 10,Resale,Furnished,South-West,Main Road,Palm Towers,3.0,3.0,,Freehold,914 sqft,52x50,
4794,5 BHK Flat for Sale in Maninagar,"Spacious 5 BHK apartment located in Maninagar, Ahmedabad. Semi-Furnished with modern amenities.",1.42 Cr,14201426.0,"Maninagar, Ahmedabad",,Under Construction,1 out of 5,Resale,Semi-Furnished,South-East,,Golden Towers,4.0,0.0,,Leasehold,2228 sqft,,
4795,5 BHK Flat for Sale in Hinjewadi,"Spacious 5 BHK apartment located in Hinjewadi, Pune. Semi-Furnished with modern amenities.",99.07 Lac,9907037.0,"Hinjewadi, Pune",147 sqm,Ready to Move,7 out of 25,New Property,Semi-Furnished,South-West,Pool,Silver Park,5.0,0.0,1.0,Freehold,,,
4796,2 BHK Flat for Sale in DLF Phase 3,"Spacious 2 BHK apartment located in DLF Phase 3, Gurgaon. Furnished with modern amenities.",84.65 Lac,8464632.0,"DLF Phase 3, Gurgaon",655 sqft,Ready to Move,Ground out of 6,Resale,Furnished,West,Main Road,Golden Park,2.0,,,Leasehold,,,
4797,2 BHK Flat for Sale in Thane West,"Spacious 2 BHK apartment located in Thane West, Mumbai. Semi-Furnished with modern amenities.",1.61 Cr,16142326.0,"Thane West, Mumbai",660 sqft,Ready to Move,18 out of 20,Resale,Semi-Furnished,South-East,Main Road,Sunrise County,1.0,1.0,1.0,Power Of Attorney,831 sqft,,
4798,4 BHK Flat for Sale in Bopal,"Spacious 4 BHK apartment located in Bopal, Ahmedabad. Furnished with modern amenities.",1.11 Cr,,"Bopal, Ahmedabad",1563 sqft,Under Construction,5 out of 6,New Property,Furnished,South,Pool,,3.0,1.0,2.0,Power Of Attorney,,39x50,
4799,4 BHK Flat for Sale in Karol Bagh,"Spacious 4 BHK apartment located in Karol Bagh, Delhi. Semi-Furnished with modern amenities.",2.08 Cr,,"Karol Bagh, Delhi",1312 sqft,Under Construction,1 out of 4,New Property,Semi-Furnished,West,,Emerald Enclave,4.0,2.0,0.0,Power Of Attorney,1517 sqft,,
4800,5 BHK Flat for Sale in Porur,"Spacious 5 BHK apartment located in Porur, Chennai. Semi-Furnished with modern amenities.",1.0 Cr,10012738.0,"Porur, Chennai",1654 sqft,Under Construction,4 out of 8,New Property,Semi-Furnished,South-West,Not Available,Maple Woods,5.0,0.0,1.0,Power Of Attorney,,25x52,
4801,4 BHK Flat for Sale in Sector 78,"Spacious 4 BHK apartment located in Sector 78, Noida. Furnished with modern amenities.",1.27 Cr,12731320.0,"Sector 78, Noida",1494 sqft,Ready to Move,4 out of 4,New Property,Furnished,North-East,,Silver Enclave,4.0,0.0,,,1710 sqft,,
4802,3 BHK Flat for Sale in Sector 137,"Spacious 3 BHK apartment located in Sector 137, Noida. Semi-Furnished with modern amenities.",81.37 Lac,8136627.0,"Sector 137, Noida",1037 sqft,Ready to Move,3 out of 25,Resale,Semi-Furnished,,,Royal Woods,3.0,1.0,1.0,Freehold,,39x36,
4803,3 BHK Flat for Sale in Sector 137,"Spacious 3 BHK apartment located in Sector 137, Noida. Furnished with modern amenities.",1.05 Cr,10510055.0,"Sector 137, Noida",1455 sqft,Under Construction,15 out of 20,New Property,Furnished,East,Main Road,Palm Woods,3.0,1.0,1.0,Freehold,,49x29,
4804,2 BHK Flat for Sale in OMR,"Spacious 2 BHK apartment located in OMR, Chennai. Furnished with modern amenities.",70.95 Lac,,"OMR, Chennai",,Under Construction,4 out of 15,Resale,Furnished,,,Sunrise Woods,2.0,2.0,,,861 sqft,,
4805,3 BHK Flat for Sale in DLF Phase 3,"Spacious 3 BHK apartment located in DLF Phase 3, Gurgaon. Unfurnished with modern amenities.",93.68 Lac,9367666.0,"DLF Phase 3, Gurgaon",1079 sqft,Under Construction,11 out of 12,Resale,Unfurnished,,Main Road,Green Woods,3.0,3.0,,Power Of Attorney,,,
4806,4 BHK Flat for Sale in Rajarhat,"Spacious 4 BHK apartment located in Rajarhat, Kolkata. Unfurnished with modern amenities.",97.0 Lac,9699567.0,"Rajarhat, Kolkata",1446 sqft,Ready to Move,11 out of 12,New Property,Unfurnished,South-West,Club,Golden Gardens,3.0,1.0,,,1913 sqft,33x25,2093 sqft
4807,1 BHK Flat for Sale in Sector 57,"Spacious 1 BHK apartment located in Sector 57, Gurgaon. Unfurnished with modern amenities.",46.5 Lac,4649572.0,"Sector 57, Gurgaon",328 sqft,Under Construction,3 out of 10,New Property,Unfurnished,North,Pool,Royal Gardens,1.0,,1.0,Co-operative Society,,45x36,
4808,2 BHK Flat for Sale in Gachibowli,"Spacious 2 BHK apartment located in Gachibowli, Hyderabad. Semi-Furnished with modern amenities.",50.95 Lac,5095407.0,"Gachibowli, Hyderabad",740 sqft,Under Construction,20 out of 20,Resale,Semi-Furnished,East,,Orchid Woods,2.0,,2.0,Power Of Attorney,976 sqft,,1021 sqft
4809,2 BHK Flat for Sale in OMR,"Spacious 2 BHK apartment located in OMR, Chennai. Semi-Furnished with modern amenities.",52.28 Lac,5228327.0,"OMR, Chennai",652 sqft,Under Construction,7 out of 8,New Property,Semi-Furnished,South-East,,Emerald Park,2.0,2.0,,,78 sqm,,
4810,3 BHK Flat for Sale in Rohini,"Spacious 3 BHK apartment located in Rohini, Delhi. Semi-Furnished with modern amenities.",1.63 Cr,,"Rohini, Delhi",975 sqft,Ready to Move,6 out of 12,Resale,Semi-Furnished,,Main Road,Lake Enclave,3.0,3.0,0.0,,1075 sqft,,1266 sqft
4811,4 BHK Flat for Sale in Salt Lake,"Spacious 4 BHK apartment located in Salt Lake, Kolkata. Unfurnished with modern amenities.",1.03 Cr,,"Salt Lake, Kolkata",1750 sqft,Under Construction,18 out of 20,Resale,Unfurnished,,Main Road,Orchid Woods,4.0,2.0,,Leasehold,2036 sqft,,2263 sqft
4812,5 BHK Flat for Sale in Kandivali West,"Spacious 5 BHK apartment located in Kandivali West, Mumbai. Semi-Furnished with modern amenities.",4.96 Cr,49587552.0,"Kandivali West, Mumbai",156 sqm,Under Construction,1 out of 6,New Property,Semi-Furnished,North-East,Pool,Lake Towers,5.0,,1.0,,194 sqm,,
4813,3 BHK Flat for Sale in Kondapur,"Spacious 3 BHK apartment located in Kondapur, Hyderabad. Furnished with modern amenities.",Call for Price,,"Kondapur, Hyderabad",863 sqft,Under Construction,2 out of 10,Resale,Furnished,North-West,Not Available,,3.0,2.0,,Leasehold,957 sqft,39x20,
4814,5 BHK Flat for Sale in Viman Nagar,"Spacious 5 BHK apartment located in Viman Nagar, Pune. Unfurnished with modern amenities.",2.68 Cr,,"Viman Nagar, Pune",2153 sqft,Under Construction,5 out of 12,New Property,Unfurnished,East,Not Available,Lake Gardens,5.0,3.0,,Freehold,2842 sqft,,
4815,2 BHK Flat for Sale in Electronic City,"Spacious 2 BHK apartment located in Electronic City, Bangalore. Furnished with modern amenities.",84.27 Lac,8427127.0,"Electronic City, Bangalore",,Under Construction,15 out of 15,New Property,Furnished,,Not Available,Palm Heights,,1.0,,,783 sqft,,
4816,2 BHK Flat for Sale in DLF Phase 3,"Spacious 2 BHK apartment located in DLF Phase 3, Gurgaon. Semi-Furnished with modern amenities.",1.07 Cr,10689588.0,"DLF Phase 3, Gurgaon",74 sqm,Ready to Move,2 out of 6,New Property,Semi-Furnished,East,Garden/Park,Golden Park,2.0,,,Power Of Attorney,936 sqft,,
4817,1 BHK Flat for Sale in Yelahanka,"Spacious 1 BHK apartment located in Yelahanka, Bangalore. Furnished with modern amenities.",37.69 Lac,3769475.0,"Yelahanka, Bangalore",337 sqft,Ready to Move,2 out of 4,New Property,Furnished,North-West,Garden/Park,Sunrise Woods,1.0,1.0,,,386 sqft,39x55,
4818,2 BHK Flat for Sale in Sector 137,"Spacious 2 BHK apartment located in Sector 137, Noida. Unfurnished with modern amenities.",46.83 Lac,,"Sector 137, Noida",612 sqft,Ready to Move,18 out of 25,Resale,Unfurnished,East,Pool,Golden Woods,1.0,2.0,1.0,Power Of Attorney,772 sqft,,
4819,3 BHK Flat for Sale in Kondapur,"Spacious 3 BHK apartment located in Kondapur, Hyderabad. Unfurnished with modern amenities.",97.59 Lac,9758546.0,"Kondapur, Hyderabad",1247 sqft,Ready to Move,3 out of 4,New Property,Unfurnished,South-West,,Orchid Park,3.0,,,Leasehold,1629 sqft,,
4820,3 BHK Flat for Sale in Marathahalli,"Spacious 3 BHK apartment located in Marathahalli, Bangalore. Unfurnished with modern amenities.",Call for Price,,"Marathahalli, Bangalore",,Under Construction,8 out of 10,Resale,Unfurnished,South,,Sunrise County,,,1.0,Co-operative Society,1851 sqft,,
4821,1 BHK Flat for Sale in Janakpuri,"Spacious 1 BHK apartment located in Janakpuri, Delhi. Furnished with modern amenities.",70.2 Lac,7019560.0,"Janakpuri, Delhi",373 sqft,Ready to Move,17 out of 25,Resale,Furnished,,,Lake Woods,1.0,1.0,2.0,Leasehold,416 sqft,46x21,
4822,4 BHK Flat for Sale in Karol Bagh,"Spacious 4 BHK apartment located in Karol Bagh, Delhi. Furnished with modern amenities.",2.51 Cr,25115754.0,"Karol Bagh, Delhi",1348 sqft,Ready to Move,16 out of 20,Resale,Furnished,South,,Golden Enclave,4.0,,1.0,Freehold,1699 sqft,,
4823,2 BHK Flat for Sale in Sector 62,"Spacious 2 BHK apartment located in Sector 62, Noida. Furnished with modern amenities.",84.72 Lac,8471787.0,"Sector 62, Noida",,Under Construction,6 out of 8,New Property,Furnished,North,Pool,Royal Towers,3.0,1.0,1.0,Freehold,887 sqft,,
